id,attributes/0/trait_type,attributes/0/value,attributes/1/trait_type,attributes/1/value,attributes/2/trait_type,attributes/2/value,attributes/3/trait_type,attributes/3/value,attributes/4/trait_type,attributes/4/value,attributes/5/trait_type,attributes/5/value
129,Planet,Ozara South,Object,Ozaran Sand Staff,Rarity,13,Inhabitant,Cristallian F,Light,Ozaran sun,Weather,Clear
130,Planet,Ozara North,Object,Quartz Ray Gun,Rarity,32,Inhabitant,Sindarin F,Light,Ozaran sun,Weather,Clear
131,Planet,Ozara North,Object,Pampan Grass Staff,Rarity,14,Inhabitant,Pampan M,Light,Bright,Weather,Desert dust
132,Planet,Ozara South,Object,Minasan Ore Sword,Rarity,23,Inhabitant,Zandoan F,Light,Noonlight,Weather,Clear
133,Planet,Ozara North,Object,Pampan Grass Sword,Rarity,27,Inhabitant,Kitan M,Light,Bright,Weather,Clear
134,Planet,Ozara South,Object,Lusan Water Staff,Rarity,10,Inhabitant,Kitan M,Light,Clear,Weather,Desert dust
135,Planet,Ozara North,Object,Ozaran Bone Axe,Rarity,6,Inhabitant,Sindarin F,Light,Clear,Weather,Clear
136,Planet,Ozara North,Object,Battle Axe,Rarity,1,Inhabitant,Ozaran F,Light,Ozaran sun,Weather,Clear
137,Planet,Ozara North,Object,Ozaran Bone Axe,Rarity,6,Inhabitant,Kitan F,Light,Bright,Weather,Clear
138,Planet,Ozara South,Object,Minasan Bow,Rarity,18,Inhabitant,Pampan F,Light,Noonlight,Weather,Desert dust
139,Planet,Ozara South,Object,Ice Cleaver,Rarity,8,Inhabitant,Zandoan F,Light,Noonlight,Weather,Clear
140,Planet,Ozara North,Object,Cruthan Blaster,Rarity,31,Inhabitant,Ozaran M,Light,Bright,Weather,Desert dust
141,Planet,Ozara South,Object,Cruthan Death Mace,Rarity,5,Inhabitant,Cristallian F,Light,Clear,Weather,Clear
142,Planet,Ozara South,Object,The Eternal Torch,Rarity,4,Inhabitant,Kitan M,Light,Bright,Weather,Desert dust
143,Planet,Ozara South,Object,Ozaran Bone Axe,Rarity,6,Inhabitant,Sindarin M,Light,Noonlight,Weather,Desert dust
144,Planet,Ozara North,Object,The Eternal Torch,Rarity,4,Inhabitant,Cristallian F,Light,Noonlight,Weather,Clear
145,Planet,Ozara North,Object,Sindarin Fire Bow,Rarity,20,Inhabitant,Cristallian F,Light,Bright,Weather,Clear
146,Planet,Ozara South,Object,Ice Cleaver,Rarity,8,Inhabitant,Lusan M,Light,Ozaran sun,Weather,Clear
147,Planet,Ozara South,Object,Cristallian Sword,Rarity,29,Inhabitant,Gredican M,Light,Noonlight,Weather,Clear
148,Planet,Ozara South,Object,Cristallian Ray Gun,Rarity,33,Inhabitant,Zandoan M,Light,Noonlight,Weather,Clear
149,Planet,Ozara South,Object,Golden Hammer,Rarity,3,Inhabitant,Ozaran M,Light,Bright,Weather,Clear
150,Planet,Ozara South,Object,Ozaran Death Saber,Rarity,24,Inhabitant,Zandoan F,Light,Bright,Weather,Clear
151,Planet,Ozara South,Object,Ozaran Sand Staff,Rarity,13,Inhabitant,Cruthan M,Light,Bright,Weather,Desert dust
152,Planet,Ozara North,Object,Lusan Water Staff,Rarity,10,Inhabitant,Gredican F,Light,Bright,Weather,Clear
153,Planet,Ozara South,Object,Ancient Lusan Trident,Rarity,7,Inhabitant,Kitan M,Light,Clear,Weather,Clear
154,Planet,Ozara South,Object,Ozaran Death Saber,Rarity,24,Inhabitant,Minasan F,Light,Clear,Weather,Desert winds
155,Planet,Ozara North,Object,Kitan Ice Sword,Rarity,25,Inhabitant,Lusan M,Light,Bright,Weather,Desert winds
156,Planet,Ozara South,Object,Lusan Water Staff,Rarity,10,Inhabitant,Cruthan F,Light,Ozaran sun,Weather,Desert dust
157,Planet,Ozara South,Object,Cruthan Death Mace,Rarity,5,Inhabitant,Gredican F,Light,Bright,Weather,Clear
158,Planet,Ozara North,Object,Pampan Grass Staff,Rarity,14,Inhabitant,Minasan M,Light,Bright,Weather,Clear
159,Planet,Ozara South,Object,Gredican Power Staff,Rarity,17,Inhabitant,Pampan M,Light,Clear,Weather,Clear
160,Planet,Ozara South,Object,Battle Shovel,Rarity,2,Inhabitant,Pampan M,Light,Noonlight,Weather,Clear
161,Planet,Ozara North,Object,Ozaran Bone Axe,Rarity,6,Inhabitant,Cruthan M,Light,Bright,Weather,Clear
162,Planet,Ozara North,Object,Ancient Lusan Trident,Rarity,7,Inhabitant,Gredican M,Light,Bright,Weather,Clear
163,Planet,Ozara South,Object,Cruthan Blaster,Rarity,31,Inhabitant,Zandoan M,Light,Clear,Weather,Desert dust
164,Planet,Ozara North,Object,Cristallian Staff,Rarity,12,Inhabitant,Gredican F,Light,Bright,Weather,Desert dust
165,Planet,Ozara South,Object,Ice Cleaver,Rarity,8,Inhabitant,Lusan F,Light,Ozaran sun,Weather,Clear
166,Planet,Ozara North,Object,Sindarin Fire Staff,Rarity,15,Inhabitant,Minasan M,Light,Clear,Weather,Desert dust
167,Planet,Ozara North,Object,Staff of Zando,Rarity,16,Inhabitant,Pampan F,Light,Bright,Weather,Desert dust
168,Planet,Ozara North,Object,The Eternal Torch,Rarity,4,Inhabitant,Ozaran F,Light,Noonlight,Weather,Clear
169,Planet,Ozara North,Object,Kitan Ice Staff,Rarity,11,Inhabitant,Zandoan F,Light,Bright,Weather,Desert dust
170,Planet,Ozara South,Object,Royal Ozaran Bow,Rarity,22,Inhabitant,Cristallian F,Light,Noonlight,Weather,Clear
171,Planet,Ozara South,Object,Quartz Ray Gun,Rarity,32,Inhabitant,Cristallian M,Light,Bright,Weather,Clear
172,Planet,Ozara South,Object,Lusan Water Saber,Rarity,26,Inhabitant,Cruthan M,Light,Bright,Weather,Desert winds
173,Planet,Ozara South,Object,Kitan Ice Bow,Rarity,19,Inhabitant,Gredican M,Light,Noonlight,Weather,Clear
174,Planet,Ozara South,Object,Golden Hammer,Rarity,3,Inhabitant,Cruthan M,Light,Noonlight,Weather,Desert winds
175,Planet,Ozara South,Object,Lusan Water Saber,Rarity,26,Inhabitant,Ozaran M,Light,Noonlight,Weather,Desert dust
176,Planet,Ozara North,Object,Golden Hammer,Rarity,3,Inhabitant,Kitan M,Light,Bright,Weather,Clear
177,Planet,Ozara North,Object,Ozaran Bone Axe,Rarity,6,Inhabitant,Ozaran F,Light,Clear,Weather,Desert winds
178,Planet,Ozara South,Object,Minasan Ore Sword,Rarity,23,Inhabitant,Kitan M,Light,Bright,Weather,Desert dust
179,Planet,Ozara South,Object,Royal Ozaran Bow,Rarity,22,Inhabitant,Gredican F,Light,Ozaran sun,Weather,Clear
180,Planet,Ozara North,Object,The Eternal Torch,Rarity,4,Inhabitant,Lusan F,Light,Bright,Weather,Desert dust
181,Planet,Ozara South,Object,Ozaran Sand Staff,Rarity,13,Inhabitant,Lusan F,Light,Noonlight,Weather,Clear
182,Planet,Ozara South,Object,Staff of Zando,Rarity,16,Inhabitant,Zandoan M,Light,Bright,Weather,Clear
183,Planet,Ozara South,Object,Phoenix Rising,Rarity,40,Inhabitant,Lusan F,Light,Ozaran sun,Weather,Clear
184,Planet,Ozara North,Object,Battle Axe,Rarity,1,Inhabitant,Pampan M,Light,Bright,Weather,Clear
185,Planet,Ozara North,Object,Ancient Lusan Trident,Rarity,7,Inhabitant,Minasan M,Light,Noonlight,Weather,Clear
186,Planet,Ozara South,Object,Minasan Ore Sword,Rarity,23,Inhabitant,Gredican M,Light,Clear,Weather,Clear
187,Planet,Ozara North,Object,Golden Hammer,Rarity,3,Inhabitant,Lusan F,Light,Clear,Weather,Desert dust
188,Planet,Ozara North,Object,Royal Ozaran Bow,Rarity,22,Inhabitant,Ozaran M,Light,Clear,Weather,Desert dust
189,Planet,Ozara South,Object,Kitan Ice Sword,Rarity,25,Inhabitant,Cristallian F,Light,Bright,Weather,Clear
190,Planet,Ozara South,Object,Battle Shovel,Rarity,2,Inhabitant,Ozaran F,Light,Bright,Weather,Clear
191,Planet,Ozara South,Object,Kitan Ice Bow,Rarity,19,Inhabitant,Cruthan F,Light,Ozaran sun,Weather,Clear
192,Planet,Ozara South,Object,The Eternal Torch,Rarity,4,Inhabitant,Ozaran M,Light,Clear,Weather,Desert dust
193,Planet,Ozara North,Object,Ancient Lusan Trident,Rarity,7,Inhabitant,Ozaran F,Light,Bright,Weather,Desert dust
194,Planet,Ozara North,Object,Sindarin Fire Bow,Rarity,20,Inhabitant,Pampan F,Light,Clear,Weather,Desert dust
195,Planet,Ozara South,Object,Ozaran Death Saber,Rarity,24,Inhabitant,Minasan F,Light,Clear,Weather,Desert dust
196,Planet,Ozara North,Object,Cruthan Blaster,Rarity,31,Inhabitant,Zandoan F,Light,Noonlight,Weather,Desert dust
197,Planet,Ozara North,Object,Battle Axe,Rarity,1,Inhabitant,Minasan F,Light,Clear,Weather,Clear
198,Planet,Ozara South,Object,Ozaran Bone Axe,Rarity,6,Inhabitant,Cristallian F,Light,Ozaran sun,Weather,Desert winds
199,Planet,Ozara South,Object,Sindarin Fire Bow,Rarity,20,Inhabitant,Lusan M,Light,Bright,Weather,Clear
200,Planet,Ozara North,Object,Lusan Water Saber,Rarity,26,Inhabitant,Gredican M,Light,Clear,Weather,Desert dust
201,Planet,Ozara South,Object,Kitan Ice Sword,Rarity,25,Inhabitant,Kitan M,Light,Noonlight,Weather,Clear
202,Planet,Ozara South,Object,Lusan Water Staff,Rarity,10,Inhabitant,Cruthan F,Light,Noonlight,Weather,Clear
203,Planet,Ozara South,Object,The Eternal Torch,Rarity,4,Inhabitant,Pampan F,Light,Bright,Weather,Clear
204,Planet,Ozara North,Object,Ozaran Bone Axe,Rarity,6,Inhabitant,Cruthan F,Light,Bright,Weather,Desert dust
205,Planet,Ozara South,Object,Kitan Ice Staff,Rarity,11,Inhabitant,Ozaran F,Light,Noonlight,Weather,Desert dust
206,Planet,Ozara North,Object,Staff of Zando,Rarity,16,Inhabitant,Kitan F,Light,Noonlight,Weather,Desert winds
207,Planet,Ozara South,Object,SST Fishing Pole,Rarity,30,Inhabitant,Gredican M,Light,Ozaran sun,Weather,Clear
208,Planet,Ozara South,Object,Staff of Zando,Rarity,16,Inhabitant,Lusan F,Light,Noonlight,Weather,Desert dust
209,Planet,Ozara South,Object,Golden Hammer,Rarity,3,Inhabitant,Cristallian M,Light,Bright,Weather,Desert dust
210,Planet,Ozara North,Object,Ozaran Bone Axe,Rarity,6,Inhabitant,Lusan F,Light,Noonlight,Weather,Clear
211,Planet,Ozara South,Object,Cristallian Sword,Rarity,29,Inhabitant,Minasan F,Light,Bright,Weather,Clear
212,Planet,Ozara South,Object,Staff of Zando,Rarity,16,Inhabitant,Kitan M,Light,Noonlight,Weather,Clear
213,Planet,Ozara South,Object,Sindarin Flame Thrower,Rarity,35,Inhabitant,Kitan F,Light,Ozaran sun,Weather,Clear
214,Planet,Ozara North,Object,Battle Axe,Rarity,1,Inhabitant,Kitan M,Light,Clear,Weather,Clear
215,Planet,Ozara South,Object,Sindarin Fire Bow,Rarity,20,Inhabitant,Cristallian F,Light,Clear,Weather,Clear
216,Planet,Ozara South,Object,Quartz Ray Gun,Rarity,32,Inhabitant,Sindarin M,Light,Bright,Weather,Desert winds
217,Planet,Ozara South,Object,The Eternal Torch,Rarity,4,Inhabitant,Zandoan M,Light,Clear,Weather,Clear
218,Planet,Ozara South,Object,The Eternal Torch,Rarity,4,Inhabitant,Ozaran F,Light,Clear,Weather,Clear
219,Planet,Ozara North,Object,Golden Hammer,Rarity,3,Inhabitant,Cristallian M,Light,Clear,Weather,Clear
