id,attributes/0/trait_type,attributes/0/value,attributes/1/trait_type,attributes/1/value,attributes/2/trait_type,attributes/2/value
42,Planet,Ozara North,Rarity,11,Inhabitant,Ozaran M
43,Planet,Ozara North,Rarity,11,Inhabitant,Sindarin F
44,Planet,Ozara South,Rarity,8,Inhabitant,Ozaran M
45,Planet,Ozara North,Rarity,7,Inhabitant,Cruthan F
46,Planet,Ozara South,Rarity,8,Inhabitant,Gredican F
47,Planet,Ozara South,Rarity,2,Inhabitant,Cristallian M
48,Planet,Ozara South,Rarity,31,Inhabitant,Ozaran M
49,Planet,Ozara South,Rarity,15,Inhabitant,Gredican M
50,Planet,Ozara North,Rarity,23,Inhabitant,Ozaran F
51,Planet,Ozara North,Rarity,18,Inhabitant,Cristallian M
52,Planet,Ozara South,Rarity,28,Inhabitant,Zandoan F
53,Planet,Ozara South,Rarity,7,Inhabitant,Sindarin F
54,Planet,Ozara North,Rarity,18,Inhabitant,Gredican M
55,Planet,Ozara North,Rarity,10,Inhabitant,Sindarin M
56,Planet,Ozara South,Rarity,15,Inhabitant,Kitan M
57,Planet,Ozara South,Rarity,5,Inhabitant,Cruthan M
58,Planet,Ozara South,Rarity,18,Inhabitant,Pampan M
59,Planet,Ozara North,Rarity,18,Inhabitant,Ozaran M
60,Planet,Ozara South,Rarity,19,Inhabitant,Cristallian F
61,Planet,Ozara North,Rarity,2,Inhabitant,Zandoan M
62,Planet,Ozara North,Rarity,17,Inhabitant,Cruthan M
63,Planet,Ozara North,Rarity,21,Inhabitant,Gredican M
64,Planet,Ozara South,Rarity,2,Inhabitant,Pampan F
65,Planet,Ozara North,Rarity,6,Inhabitant,Zandoan F
66,Planet,Ozara North,Rarity,2,Inhabitant,Kitan F
67,Planet,Ozara South,Rarity,2,Inhabitant,Kitan M
68,Planet,Ozara North,Rarity,6,Inhabitant,Pampan M
69,Planet,Ozara North,Rarity,29,Inhabitant,Ozaran F
70,Planet,Ozara South,Rarity,14,Inhabitant,Cruthan M
71,Planet,Ozara South,Rarity,8,Inhabitant,Gredican M
72,Planet,Ozara South,Rarity,2,Inhabitant,Ozaran M
73,Planet,Ozara South,Rarity,2,Inhabitant,Gredican M
74,Planet,Ozara South,Rarity,21,Inhabitant,Lusan F
75,Planet,Ozara South,Rarity,4,Inhabitant,Minasan F
76,Planet,Ozara South,Rarity,18,Inhabitant,Cristallian M
77,Planet,Ozara North,Rarity,34,Inhabitant,Gredican M
78,Planet,Ozara North,Rarity,8,Inhabitant,Sindarin M
79,Planet,Ozara South,Rarity,16,Inhabitant,Kitan M
80,Planet,Ozara South,Rarity,30,Inhabitant,Zandoan F
81,Planet,Ozara North,Rarity,14,Inhabitant,Cruthan M
82,Planet,Ozara North,Rarity,8,Inhabitant,Cristallian F
83,Planet,Ozara North,Rarity,8,Inhabitant,Ozaran M
84,Planet,Ozara South,Rarity,1,Inhabitant,Ozaran F
85,Planet,Ozara South,Rarity,22,Inhabitant,Kitan F
86,Planet,Ozara South,Rarity,15,Inhabitant,Cruthan M
87,Planet,Ozara North,Rarity,3,Inhabitant,Cruthan M
88,Planet,Ozara North,Rarity,15,Inhabitant,Ozaran F
89,Planet,Ozara North,Rarity,14,Inhabitant,Sindarin F
90,Planet,Ozara North,Rarity,17,Inhabitant,Ozaran M
91,Planet,Ozara North,Rarity,15,Inhabitant,Lusan F
92,Planet,Ozara South,Rarity,16,Inhabitant,Sindarin M
93,Planet,Ozara North,Rarity,17,Inhabitant,Zandoan M
94,Planet,Ozara South,Rarity,5,Inhabitant,Cruthan M
95,Planet,Ozara South,Rarity,23,Inhabitant,Cristallian F
96,Planet,Ozara South,Rarity,13,Inhabitant,Sindarin F
97,Planet,Ozara South,Rarity,2,Inhabitant,Zandoan F
98,Planet,Ozara South,Rarity,7,Inhabitant,Zandoan M
99,Planet,Ozara South,Rarity,18,Inhabitant,Minasan M
100,Planet,Ozara North,Rarity,4,Inhabitant,Lusan F
101,Planet,Ozara South,Rarity,5,Inhabitant,Minasan M
102,Planet,Ozara North,Rarity,9,Inhabitant,Sindarin F
103,Planet,Ozara South,Rarity,3,Inhabitant,Sindarin F
104,Planet,Ozara North,Rarity,19,Inhabitant,Kitan M
105,Planet,Ozara South,Rarity,2,Inhabitant,Sindarin M
106,Planet,Ozara South,Rarity,12,Inhabitant,Kitan M
107,Planet,Ozara North,Rarity,6,Inhabitant,Zandoan M
108,Planet,Ozara North,Rarity,9,Inhabitant,Lusan F
109,Planet,Ozara South,Rarity,28,Inhabitant,Cristallian F
110,Planet,Ozara South,Rarity,9,Inhabitant,Minasan F
111,Planet,Ozara South,Rarity,7,Inhabitant,Ozaran F
112,Planet,Ozara North,Rarity,2,Inhabitant,Gredican F
113,Planet,Ozara South,Rarity,12,Inhabitant,Gredican M
114,Planet,Ozara North,Rarity,20,Inhabitant,Minasan M
115,Planet,Ozara South,Rarity,7,Inhabitant,Ozaran M
116,Planet,Ozara North,Rarity,18,Inhabitant,Kitan F
117,Planet,Ozara South,Rarity,3,Inhabitant,Kitan F
118,Planet,Ozara South,Rarity,32,Inhabitant,Ozaran F
119,Planet,Ozara North,Rarity,25,Inhabitant,Kitan M
120,Planet,Ozara South,Rarity,1,Inhabitant,Cruthan M
121,Planet,Ozara South,Rarity,1,Inhabitant,Zandoan F
122,Planet,Ozara South,Rarity,17,Inhabitant,Ozaran F
123,Planet,Ozara South,Rarity,3,Inhabitant,Zandoan M
124,Planet,Ozara South,Rarity,3,Inhabitant,Kitan M
125,Planet,Ozara North,Rarity,22,Inhabitant,Kitan F
126,Planet,Ozara North,Rarity,3,Inhabitant,Pampan M
127,Planet,Ozara North,Rarity,16,Inhabitant,Kitan F
128,Planet,Ozara South,Rarity,17,Inhabitant,Ozaran F
129,Planet,Ozara South,Rarity,13,Inhabitant,Cristallian F
130,Planet,Ozara North,Rarity,32,Inhabitant,Sindarin F
131,Planet,Ozara North,Rarity,14,Inhabitant,Pampan M
132,Planet,Ozara South,Rarity,23,Inhabitant,Zandoan F
133,Planet,Ozara North,Rarity,27,Inhabitant,Kitan M
134,Planet,Ozara South,Rarity,10,Inhabitant,Kitan M
135,Planet,Ozara North,Rarity,6,Inhabitant,Sindarin F
136,Planet,Ozara North,Rarity,1,Inhabitant,Ozaran F
137,Planet,Ozara North,Rarity,6,Inhabitant,Kitan F
138,Planet,Ozara South,Rarity,18,Inhabitant,Pampan F
139,Planet,Ozara South,Rarity,8,Inhabitant,Zandoan F
140,Planet,Ozara North,Rarity,31,Inhabitant,Ozaran M
141,Planet,Ozara South,Rarity,5,Inhabitant,Cristallian F
142,Planet,Ozara South,Rarity,4,Inhabitant,Kitan M
143,Planet,Ozara South,Rarity,6,Inhabitant,Sindarin M
144,Planet,Ozara North,Rarity,4,Inhabitant,Cristallian F
145,Planet,Ozara North,Rarity,20,Inhabitant,Cristallian F
146,Planet,Ozara South,Rarity,8,Inhabitant,Lusan M
147,Planet,Ozara South,Rarity,29,Inhabitant,Gredican M
148,Planet,Ozara South,Rarity,33,Inhabitant,Zandoan M
149,Planet,Ozara South,Rarity,3,Inhabitant,Ozaran M
150,Planet,Ozara South,Rarity,24,Inhabitant,Zandoan F
151,Planet,Ozara South,Rarity,13,Inhabitant,Cruthan M
152,Planet,Ozara North,Rarity,10,Inhabitant,Gredican F
153,Planet,Ozara South,Rarity,7,Inhabitant,Kitan M
154,Planet,Ozara South,Rarity,24,Inhabitant,Minasan F
155,Planet,Ozara North,Rarity,25,Inhabitant,Lusan M
156,Planet,Ozara South,Rarity,10,Inhabitant,Cruthan F
157,Planet,Ozara South,Rarity,5,Inhabitant,Gredican F
158,Planet,Ozara North,Rarity,14,Inhabitant,Minasan M
159,Planet,Ozara South,Rarity,17,Inhabitant,Pampan M
160,Planet,Ozara South,Rarity,2,Inhabitant,Pampan M
161,Planet,Ozara North,Rarity,6,Inhabitant,Cruthan M
162,Planet,Ozara North,Rarity,7,Inhabitant,Gredican M
163,Planet,Ozara South,Rarity,31,Inhabitant,Zandoan M
164,Planet,Ozara North,Rarity,12,Inhabitant,Gredican F
165,Planet,Ozara South,Rarity,8,Inhabitant,Lusan F
166,Planet,Ozara North,Rarity,15,Inhabitant,Minasan M
167,Planet,Ozara North,Rarity,16,Inhabitant,Pampan F
168,Planet,Ozara North,Rarity,4,Inhabitant,Ozaran F
169,Planet,Ozara North,Rarity,11,Inhabitant,Zandoan F
170,Planet,Ozara South,Rarity,22,Inhabitant,Cristallian F
171,Planet,Ozara South,Rarity,32,Inhabitant,Cristallian M
172,Planet,Ozara South,Rarity,26,Inhabitant,Cruthan M
173,Planet,Ozara South,Rarity,19,Inhabitant,Gredican M
174,Planet,Ozara South,Rarity,3,Inhabitant,Cruthan M
175,Planet,Ozara South,Rarity,26,Inhabitant,Ozaran M
176,Planet,Ozara North,Rarity,3,Inhabitant,Kitan M
177,Planet,Ozara North,Rarity,6,Inhabitant,Ozaran F
178,Planet,Ozara South,Rarity,23,Inhabitant,Kitan M
179,Planet,Ozara South,Rarity,22,Inhabitant,Gredican F
180,Planet,Ozara North,Rarity,4,Inhabitant,Lusan F
181,Planet,Ozara South,Rarity,13,Inhabitant,Lusan F
182,Planet,Ozara South,Rarity,16,Inhabitant,Zandoan M
183,Planet,Ozara South,Rarity,40,Inhabitant,Lusan F
184,Planet,Ozara North,Rarity,1,Inhabitant,Pampan M
185,Planet,Ozara North,Rarity,7,Inhabitant,Minasan M
186,Planet,Ozara South,Rarity,23,Inhabitant,Gredican M
187,Planet,Ozara North,Rarity,3,Inhabitant,Lusan F
188,Planet,Ozara North,Rarity,22,Inhabitant,Ozaran M
189,Planet,Ozara South,Rarity,25,Inhabitant,Cristallian F
190,Planet,Ozara South,Rarity,2,Inhabitant,Ozaran F
191,Planet,Ozara South,Rarity,19,Inhabitant,Cruthan F
192,Planet,Ozara South,Rarity,4,Inhabitant,Ozaran M
193,Planet,Ozara North,Rarity,7,Inhabitant,Ozaran F
194,Planet,Ozara North,Rarity,20,Inhabitant,Pampan F
195,Planet,Ozara South,Rarity,24,Inhabitant,Minasan F
196,Planet,Ozara North,Rarity,31,Inhabitant,Zandoan F
197,Planet,Ozara North,Rarity,1,Inhabitant,Minasan F
198,Planet,Ozara South,Rarity,6,Inhabitant,Cristallian F
199,Planet,Ozara South,Rarity,20,Inhabitant,Lusan M
200,Planet,Ozara North,Rarity,26,Inhabitant,Gredican M
201,Planet,Ozara South,Rarity,25,Inhabitant,Kitan M
202,Planet,Ozara South,Rarity,10,Inhabitant,Cruthan F
203,Planet,Ozara South,Rarity,4,Inhabitant,Pampan F
204,Planet,Ozara North,Rarity,6,Inhabitant,Cruthan F
205,Planet,Ozara South,Rarity,11,Inhabitant,Ozaran F
206,Planet,Ozara North,Rarity,16,Inhabitant,Kitan F
207,Planet,Ozara South,Rarity,30,Inhabitant,Gredican M
208,Planet,Ozara South,Rarity,16,Inhabitant,Lusan F
209,Planet,Ozara South,Rarity,3,Inhabitant,Cristallian M
210,Planet,Ozara North,Rarity,6,Inhabitant,Lusan F
211,Planet,Ozara South,Rarity,29,Inhabitant,Minasan F
212,Planet,Ozara South,Rarity,16,Inhabitant,Kitan M
213,Planet,Ozara South,Rarity,35,Inhabitant,Kitan F
214,Planet,Ozara North,Rarity,1,Inhabitant,Kitan M
215,Planet,Ozara South,Rarity,20,Inhabitant,Cristallian F
216,Planet,Ozara South,Rarity,32,Inhabitant,Sindarin M
217,Planet,Ozara South,Rarity,4,Inhabitant,Zandoan M
218,Planet,Ozara South,Rarity,4,Inhabitant,Ozaran F
219,Planet,Ozara North,Rarity,3,Inhabitant,Cristallian M
220,Planet,Ozara South,Rarity,3,Inhabitant,Cristallian F
221,Planet,Ozara North,Rarity,8,Inhabitant,Zandoan F
222,Planet,Ozara South,Rarity,14,Inhabitant,Cristallian M
223,Planet,Ozara North,Rarity,6,Inhabitant,Sindarin M
224,Planet,Ozara South,Rarity,24,Inhabitant,Minasan M
225,Planet,Ozara South,Rarity,17,Inhabitant,Gredican M
226,Planet,Ozara South,Rarity,24,Inhabitant,Sindarin F
227,Planet,Ozara South,Rarity,3,Inhabitant,Sindarin F
228,Planet,Ozara North,Rarity,2,Inhabitant,Cristallian F
229,Planet,Ozara North,Rarity,4,Inhabitant,Kitan F
230,Planet,Ozara North,Rarity,3,Inhabitant,Zandoan M
231,Planet,Ozara South,Rarity,11,Inhabitant,Cristallian M
232,Planet,Ozara South,Rarity,5,Inhabitant,Cruthan F
233,Planet,Ozara South,Rarity,13,Inhabitant,Ozaran F
234,Planet,Ozara South,Rarity,24,Inhabitant,Gredican F
235,Planet,Ozara North,Rarity,7,Inhabitant,Kitan F
236,Planet,Ozara South,Rarity,3,Inhabitant,Lusan F
237,Planet,Ozara South,Rarity,24,Inhabitant,Kitan M
238,Planet,Ozara North,Rarity,29,Inhabitant,Pampan F
239,Planet,Ozara South,Rarity,12,Inhabitant,Cruthan M
240,Planet,Ozara South,Rarity,13,Inhabitant,Lusan F
241,Planet,Ozara South,Rarity,3,Inhabitant,Pampan M
242,Planet,Ozara North,Rarity,39,Inhabitant,Cruthan F
243,Planet,Ozara North,Rarity,4,Inhabitant,Cristallian M
244,Planet,Ozara South,Rarity,17,Inhabitant,Sindarin F
245,Planet,Ozara South,Rarity,10,Inhabitant,Gredican M
246,Planet,Ozara South,Rarity,2,Inhabitant,Zandoan F
247,Planet,Ozara North,Rarity,9,Inhabitant,Gredican F
248,Planet,Ozara South,Rarity,6,Inhabitant,Lusan F
249,Planet,Ozara North,Rarity,3,Inhabitant,Cruthan M
250,Planet,Ozara North,Rarity,32,Inhabitant,Lusan M
251,Planet,Ozara South,Rarity,15,Inhabitant,Zandoan F
252,Planet,Ozara North,Rarity,2,Inhabitant,Minasan M
253,Planet,Ozara South,Rarity,12,Inhabitant,Gredican F
254,Planet,Ozara North,Rarity,6,Inhabitant,Gredican M
255,Planet,Ozara North,Rarity,17,Inhabitant,Pampan M
256,Planet,Ozara North,Rarity,4,Inhabitant,Pampan M
257,Planet,Ozara South,Rarity,9,Inhabitant,Ozaran M
258,Planet,Ozara South,Rarity,11,Inhabitant,Pampan F
259,Planet,Ozara South,Rarity,8,Inhabitant,Gredican F
260,Planet,Ozara South,Rarity,11,Inhabitant,Minasan F
261,Planet,Ozara South,Rarity,6,Inhabitant,Cristallian M
262,Planet,Ozara South,Rarity,28,Inhabitant,Ozaran F
263,Planet,Ozara North,Rarity,12,Inhabitant,Gredican M
264,Planet,Ozara North,Rarity,4,Inhabitant,Cristallian F
265,Planet,Ozara South,Rarity,6,Inhabitant,Lusan F
266,Planet,Ozara North,Rarity,2,Inhabitant,Minasan F
267,Planet,Ozara South,Rarity,19,Inhabitant,Minasan F
268,Planet,Ozara North,Rarity,6,Inhabitant,Sindarin M
269,Planet,Ozara North,Rarity,8,Inhabitant,Sindarin F
270,Planet,Ozara North,Rarity,22,Inhabitant,Sindarin F
271,Planet,Ozara South,Rarity,31,Inhabitant,Ozaran F
272,Planet,Ozara North,Rarity,4,Inhabitant,Gredican M
273,Planet,Ozara North,Rarity,16,Inhabitant,Lusan F
274,Planet,Ozara North,Rarity,21,Inhabitant,Cruthan F
275,Planet,Ozara North,Rarity,13,Inhabitant,Zandoan F
276,Planet,Ozara North,Rarity,14,Inhabitant,Pampan M
277,Planet,Ozara South,Rarity,8,Inhabitant,Lusan M
278,Planet,Ozara South,Rarity,10,Inhabitant,Sindarin F
279,Planet,Ozara South,Rarity,11,Inhabitant,Kitan M
280,Planet,Ozara North,Rarity,31,Inhabitant,Minasan F
281,Planet,Ozara North,Rarity,8,Inhabitant,Cruthan F
282,Planet,Ozara North,Rarity,5,Inhabitant,Cruthan F
283,Planet,Ozara South,Rarity,8,Inhabitant,Cristallian M
284,Planet,Ozara South,Rarity,1,Inhabitant,Pampan M
285,Planet,Ozara North,Rarity,16,Inhabitant,Cristallian F
286,Planet,Ozara South,Rarity,11,Inhabitant,Cruthan F
287,Planet,Ozara South,Rarity,3,Inhabitant,Kitan F
288,Planet,Ozara South,Rarity,15,Inhabitant,Ozaran F
289,Planet,Ozara South,Rarity,17,Inhabitant,Ozaran F
290,Planet,Ozara North,Rarity,7,Inhabitant,Cristallian F
291,Planet,Ozara South,Rarity,12,Inhabitant,Sindarin M
292,Planet,Ozara South,Rarity,27,Inhabitant,Kitan F
293,Planet,Ozara North,Rarity,16,Inhabitant,Cruthan F
294,Planet,Ozara North,Rarity,18,Inhabitant,Minasan M
295,Planet,Ozara North,Rarity,5,Inhabitant,Minasan M
296,Planet,Ozara North,Rarity,33,Inhabitant,Kitan F
297,Planet,Ozara North,Rarity,23,Inhabitant,Sindarin F
298,Planet,Ozara North,Rarity,24,Inhabitant,Minasan M
299,Planet,Ozara South,Rarity,24,Inhabitant,Cristallian M
300,Planet,Ozara South,Rarity,21,Inhabitant,Lusan M
301,Planet,Ozara South,Rarity,19,Inhabitant,Kitan F
302,Planet,Ozara North,Rarity,15,Inhabitant,Cruthan M
303,Planet,Ozara South,Rarity,10,Inhabitant,Kitan F
304,Planet,Ozara South,Rarity,24,Inhabitant,Minasan M
305,Planet,Ozara South,Rarity,5,Inhabitant,Zandoan F
306,Planet,Ozara South,Rarity,17,Inhabitant,Sindarin F
307,Planet,Ozara North,Rarity,24,Inhabitant,Minasan M
308,Planet,Ozara South,Rarity,19,Inhabitant,Cristallian F
309,Planet,Ozara South,Rarity,2,Inhabitant,Gredican F
310,Planet,Ozara South,Rarity,9,Inhabitant,Lusan F
311,Planet,Ozara South,Rarity,28,Inhabitant,Minasan M
312,Planet,Ozara North,Rarity,10,Inhabitant,Pampan F
313,Planet,Ozara South,Rarity,5,Inhabitant,Minasan F
314,Planet,Ozara North,Rarity,8,Inhabitant,Cristallian F
315,Planet,Ozara South,Rarity,2,Inhabitant,Sindarin M
316,Planet,Ozara South,Rarity,8,Inhabitant,Kitan M
317,Planet,Ozara North,Rarity,21,Inhabitant,Cristallian F
318,Planet,Ozara North,Rarity,20,Inhabitant,Sindarin M
319,Planet,Ozara North,Rarity,9,Inhabitant,Ozaran F
320,Planet,Ozara North,Rarity,14,Inhabitant,Ozaran M
321,Planet,Ozara North,Rarity,16,Inhabitant,Cristallian M
322,Planet,Ozara North,Rarity,12,Inhabitant,Pampan F
323,Planet,Ozara North,Rarity,13,Inhabitant,Kitan F
324,Planet,Ozara North,Rarity,2,Inhabitant,Gredican M
325,Planet,Ozara South,Rarity,12,Inhabitant,Sindarin M
326,Planet,Ozara South,Rarity,10,Inhabitant,Lusan F
327,Planet,Ozara North,Rarity,24,Inhabitant,Gredican F
328,Planet,Ozara South,Rarity,9,Inhabitant,Gredican F
329,Planet,Ozara North,Rarity,5,Inhabitant,Cristallian M
330,Planet,Ozara North,Rarity,26,Inhabitant,Kitan M
331,Planet,Ozara North,Rarity,11,Inhabitant,Cristallian M
332,Planet,Ozara South,Rarity,20,Inhabitant,Cruthan M
333,Planet,Ozara South,Rarity,16,Inhabitant,Minasan F
334,Planet,Ozara North,Rarity,6,Inhabitant,Cruthan M
335,Planet,Ozara North,Rarity,11,Inhabitant,Minasan M
336,Planet,Ozara North,Rarity,10,Inhabitant,Cristallian F
337,Planet,Ozara South,Rarity,22,Inhabitant,Cristallian F
338,Planet,Ozara South,Rarity,8,Inhabitant,Cruthan M
339,Planet,Ozara North,Rarity,26,Inhabitant,Zandoan F
340,Planet,Ozara South,Rarity,6,Inhabitant,Minasan F
341,Planet,Ozara South,Rarity,14,Inhabitant,Kitan M
342,Planet,Ozara North,Rarity,10,Inhabitant,Lusan M
343,Planet,Ozara North,Rarity,15,Inhabitant,Sindarin F
344,Planet,Ozara South,Rarity,25,Inhabitant,Minasan M
345,Planet,Ozara North,Rarity,3,Inhabitant,Cristallian F
346,Planet,Ozara South,Rarity,25,Inhabitant,Sindarin M
347,Planet,Ozara North,Rarity,9,Inhabitant,Cruthan F
348,Planet,Ozara North,Rarity,28,Inhabitant,Kitan M
349,Planet,Ozara North,Rarity,34,Inhabitant,Cruthan M
350,Planet,Ozara North,Rarity,13,Inhabitant,Minasan F
351,Planet,Ozara North,Rarity,1,Inhabitant,Kitan M
352,Planet,Ozara South,Rarity,31,Inhabitant,Lusan M
353,Planet,Ozara South,Rarity,12,Inhabitant,Zandoan M
354,Planet,Ozara South,Rarity,29,Inhabitant,Cruthan F
355,Planet,Ozara South,Rarity,18,Inhabitant,Lusan F
356,Planet,Ozara South,Rarity,10,Inhabitant,Zandoan F
357,Planet,Ozara South,Rarity,14,Inhabitant,Lusan M
358,Planet,Ozara North,Rarity,6,Inhabitant,Minasan F
359,Planet,Ozara South,Rarity,6,Inhabitant,Gredican F
360,Planet,Ozara North,Rarity,12,Inhabitant,Zandoan M
361,Planet,Ozara South,Rarity,10,Inhabitant,Gredican F
362,Planet,Ozara North,Rarity,12,Inhabitant,Cruthan F
363,Planet,Ozara North,Rarity,7,Inhabitant,Ozaran F
364,Planet,Ozara South,Rarity,9,Inhabitant,Cristallian M
365,Planet,Ozara North,Rarity,8,Inhabitant,Ozaran F
366,Planet,Ozara North,Rarity,15,Inhabitant,Ozaran F
367,Planet,Ozara South,Rarity,4,Inhabitant,Zandoan M
368,Planet,Ozara South,Rarity,6,Inhabitant,Lusan M
369,Planet,Ozara North,Rarity,28,Inhabitant,Zandoan M
370,Planet,Ozara South,Rarity,25,Inhabitant,Kitan F
371,Planet,Ozara South,Rarity,3,Inhabitant,Pampan F
372,Planet,Ozara South,Rarity,2,Inhabitant,Ozaran M
373,Planet,Ozara South,Rarity,12,Inhabitant,Lusan M
374,Planet,Ozara North,Rarity,10,Inhabitant,Pampan M
375,Planet,Ozara South,Rarity,11,Inhabitant,Pampan M
376,Planet,Ozara South,Rarity,4,Inhabitant,Lusan F
377,Planet,Ozara South,Rarity,12,Inhabitant,Gredican M
378,Planet,Ozara North,Rarity,9,Inhabitant,Lusan F
379,Planet,Ozara South,Rarity,4,Inhabitant,Cristallian F
380,Planet,Ozara South,Rarity,4,Inhabitant,Pampan M
381,Planet,Ozara North,Rarity,14,Inhabitant,Pampan F
382,Planet,Ozara South,Rarity,4,Inhabitant,Ozaran M
383,Planet,Ozara South,Rarity,4,Inhabitant,Kitan F
384,Planet,Ozara North,Rarity,32,Inhabitant,Cruthan F
385,Planet,Ozara North,Rarity,11,Inhabitant,Minasan F
386,Planet,Ozara South,Rarity,13,Inhabitant,Cruthan M
387,Planet,Ozara North,Rarity,7,Inhabitant,Pampan F
388,Planet,Ozara North,Rarity,12,Inhabitant,Ozaran M
389,Planet,Ozara North,Rarity,1,Inhabitant,Cruthan M
390,Planet,Ozara North,Rarity,31,Inhabitant,Cruthan M
391,Planet,Ozara North,Rarity,9,Inhabitant,Lusan F
392,Planet,Ozara North,Rarity,2,Inhabitant,Cruthan M
393,Planet,Ozara North,Rarity,30,Inhabitant,Sindarin F
394,Planet,Ozara North,Rarity,9,Inhabitant,Lusan M
395,Planet,Ozara South,Rarity,2,Inhabitant,Lusan F
396,Planet,Ozara North,Rarity,6,Inhabitant,Ozaran F
397,Planet,Ozara North,Rarity,22,Inhabitant,Gredican M
398,Planet,Ozara North,Rarity,2,Inhabitant,Pampan F
399,Planet,Ozara North,Rarity,21,Inhabitant,Lusan M
400,Planet,Ozara South,Rarity,4,Inhabitant,Minasan F
401,Planet,Ozara North,Rarity,4,Inhabitant,Sindarin F
402,Planet,Ozara North,Rarity,1,Inhabitant,Lusan F
403,Planet,Ozara North,Rarity,20,Inhabitant,Zandoan F
404,Planet,Ozara South,Rarity,24,Inhabitant,Lusan M
405,Planet,Ozara South,Rarity,22,Inhabitant,Sindarin M
406,Planet,Ozara North,Rarity,6,Inhabitant,Cruthan M
407,Planet,Ozara North,Rarity,28,Inhabitant,Minasan F
408,Planet,Ozara South,Rarity,24,Inhabitant,Kitan M
409,Planet,Ozara South,Rarity,14,Inhabitant,Minasan M
410,Planet,Ozara North,Rarity,7,Inhabitant,Minasan F
411,Planet,Ozara North,Rarity,2,Inhabitant,Kitan F
412,Planet,Ozara South,Rarity,9,Inhabitant,Cruthan M
413,Planet,Ozara South,Rarity,17,Inhabitant,Cristallian F
414,Planet,Ozara South,Rarity,13,Inhabitant,Zandoan M
415,Planet,Ozara South,Rarity,22,Inhabitant,Pampan F
416,Planet,Ozara North,Rarity,9,Inhabitant,Pampan M
417,Planet,Ozara North,Rarity,22,Inhabitant,Zandoan M
418,Planet,Ozara North,Rarity,28,Inhabitant,Zandoan M
419,Planet,Ozara South,Rarity,2,Inhabitant,Zandoan F
420,Planet,Ozara North,Rarity,1,Inhabitant,Sindarin F
421,Planet,Ozara North,Rarity,22,Inhabitant,Pampan M
422,Planet,Ozara North,Rarity,25,Inhabitant,Minasan M
423,Planet,Ozara South,Rarity,19,Inhabitant,Sindarin F
424,Planet,Ozara South,Rarity,5,Inhabitant,Pampan M
425,Planet,Ozara South,Rarity,3,Inhabitant,Gredican F
426,Planet,Ozara North,Rarity,2,Inhabitant,Pampan M
427,Planet,Ozara South,Rarity,8,Inhabitant,Sindarin M
